,level_0,index,Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton),Return
0,407,444,2018-04-23,TJEA17,"300,000","3,000,000",10.0,
1,408,443,2018-05-03,TJEA17,"90,263","1,047,051",11.6,0.15999999999999992
2,409,442,2018-05-04,TJEA17,"78,317","803,170",10.26,-0.1155172413793103
3,410,441,2018-05-11,TJEA17,740,"8,954",12.1,0.1793372319688109
4,411,440,2018-05-29,TJEA17,"150,000","1,875,000",12.5,0.03305785123966953
5,412,439,2018-06-01,TJEA17,"4,380","56,064",12.8,0.02400000000000002
6,413,438,2018-06-05,TJEA17,"13,000","157,240",12.1,-0.05468750000000011
7,414,437,2018-06-11,TJEA17,"50,000","617,000",12.34,0.01983471074380172
8,415,436,2018-06-13,TJEA17,"40,838","539,062",13.2,0.06969205834683945
9,416,435,2018-06-14,TJEA17,"5,000","69,650",13.93,0.05530303030303041
10,417,434,2018-06-19,TJEA17,"346,493","3,805,825",10.98,-0.21177315147164388
11,418,433,2018-06-20,TJEA17,"6,671","85,389",12.8,0.16575591985428062
12,419,432,2018-06-22,TJEA17,"412,555","3,812,441",9.24,-0.27812500000000007
13,420,431,2018-06-25,TJEA17,"88,186","1,145,818",12.99,0.4058441558441559
14,421,430,2018-06-27,TJEA17,"550,988","7,692,880",13.96,0.07467282525019248
15,422,429,2018-06-28,TJEA17,"62,304","857,170",13.76,-0.014326647564469996
16,423,428,2018-06-29,TJEA17,"50,242","581,668",11.58,-0.15843023255813948
